Province_index,Province,Year,Hydro,Thermal,Nuclear,Wind,Solar,Other,Size of Energy Sector,Population,GDP_pc,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,VA-L,VA-R
00,全国,2002,0.165980032704532,0.817434356684933,0.0160391245341418,0,0,0.000545881556397182,16542.05,128453,9506,0.0521287338722614,0.0103108852990506,0.0128652560885111,0.00568753930505849,0.00492885814103359,0.0195670473141813,0.0206520649686736,0.00535362101891406,0.00971708873377974,0.0188647498023263,0.0194975364405781,0.0671100037337663,0.0167411094255098,0.0514274636346781,0.0159154801060749,0.0271926368827244,0.0194324655842931,0.016492311401293,0.0297069169365327,0.00467489506097908,0.00312510437359797,0.00262565765415486,0.0222072755529869,0.000585804265829559,0.00149179465415153,0.00587527189713666,0.0338426610213763,0.000999123375131213,0.0135388509121904,0.0343285522951483,0.0107588573905593,0.0201249029359343,0.00662346044396589,0.0123453824706087,0.000494319770801629,0.000507814976638572,0.00311431456885218,0.00578199325693,0.0014166353028119,0.00102213098564089,0.0021326006900651,0,0.188081564956993,0.200709262498275
01,北京,2002,0.0253923278116827,0.974607672188317,0,0,0,0,183.52,1423,32231,0.01269528446341,0.00912170149802838,0.0114776273412696,0.00374944917506133,0.0018320102761849,0.0104474196587448,0.00526713773397733,0.00193543065666251,0.00523940427724669,0.0234535453458499,0.0238837177777885,0.0360748278863701,0.0227837989395838,0.0266210154816958,0.0161458163279456,0.0189354503426288,0.0161625282216926,0.0109143674645818,0.0724716106359685,0.00942654853834647,0.00118158153001871,0.00159906581342643,0.0238532680628455,0.00139197644578736,0.00192712535189125,0.00585626191343946,0.0272135280781821,0.00234126725654956,0.0247187876288084,0.00584261616879311,0.0141158783008039,0.0512005649522437,0.0244358916379079,0.0431728341473177,0.000249840509604661,0.0101051803316461,0.0220787872148323,0.00359681387883827,0.0022031248092289,0.00205943014596914,0.01502574193304,0.000264425435056633,0.176174353060495,0.200752963350237
02,天津,2002,0.000439963336388634,0.999560036663611,0,0,0,0,272.75,1007,19161,0.010137323290148,0.00585273545547989,0.0152350586774913,0.00174402440771004,0.00346745238601765,0.0244075786382338,0.00897690856834798,0.00763779800144854,0.00527587873965589,0.0116415174369057,0.023086473951058,0.0587322820594945,0.012581948705462,0.0657418397316124,0.0306751967227642,0.0301158660468813,0.0339820890070308,0.012287667539469,0.0715576698177075,0.00325839394558425,0.00428006734429392,0.00168590153240196,0.0209812276979988,0.00138629450837084,0.00320566174904837,0.00425795740802004,0.0499753075486014,0.00122218782675282,0.00584617762161832,0.0383680697054667,0.00996318502166653,0.0295317397790586,0.00761900144122481,0.0248165622970441,6.70316678599812e-05,0.00872465044229223,0.000874317748332645,0.0184068058367766,0.00102443400633252,0.00604476524742215,0.00308885475312576,0,0.142582778282782,0.179651317405006
03,河北,2002,0.00404275459493571,0.995602271830875,0,0,0,0.000354973574189477,1014.16,6735,8216,0.0484463807074988,0.0329440588961094,0.00743004542865783,0.00593865909688242,0.00984425563919954,0.0287175276697543,0.0190746624250326,0.00540058872018012,0.0097040534697004,0.0137587932720693,0.0257761761679927,0.0659044459815457,0.0228142338787454,0.0732111343763362,0.0261998008188464,0.0110885420876979,0.0142967189748846,0.0105838391314481,0.00290159897630467,0.00437079324819532,0.00155787831576854,0.00357888052982562,0.0202749688694891,0.00131497162445108,0.000414021051630876,0.00619217787819021,0.0434693264514526,0.00169872189257767,0.00862995836359669,0.0437372772550944,0.0127691592662001,0.00861477821166399,0.00468891212230529,0.0133908660254727,0.00048653549339266,0.00169788882691925,0.00109051183476361,0.00624891089648359,0.00096544009943096,0.00139268429991642,0.00161999230431074,0,0.192701420033621,0.185058409386361
04,山西,2002,0.0223215346946538,0.977678465305346,0,0,0,0,841.34,3294,7082,0.0434028150195044,0.0342135205506077,0.000119586569707087,0.0105697098493018,0.00849151993697237,0.0124442349157194,0.00561201672156233,0.00222396080144412,0.00563042090572313,0.00907175957976382,0.0316358987709743,0.0469963640157491,0.0320081061290077,0.0723694976770913,0.0210707798108781,0.0169917544379679,0.0191247709430678,0.00325747965545417,0.00354512120922559,0.00428504660443209,0.00514971824128479,0.000762412626846675,0.0309270736030859,0.00101277859790831,0.000618490281615707,0.00877524095261682,0.0687278459125323,0.000797372451284571,0.00861051741027696,0.0297841250138946,0.0127888766248498,0.0156705127755102,0.00377962220475788,0.00862739806925889,0.000260075904868325,2.9759525160673e-05,0.00654892376556271,0.00127120909558345,0.000156923093424027,0.000723105677231725,0.00168016388093135,0.000397111916290783,0.217977836812009,0.191858541459061
05,内蒙古,2002,0.012914103964285,0.98449924316453,0,0,0,0.00256749247954628,521.91,2384,8146,0.048894460348429,0.0290559875834082,0.00461071465708862,0.00769758522138044,0.00545986291775308,0.034612656665914,0.0103280111635315,0.00188683433394211,0.00707154281369844,0.0176363020494997,0.028342953559272,0.0337553791218268,0.0364523618145644,0.0444181184250104,0.0191509278352581,0.0156476938386214,0.0138942848300415,0.00662439425887815,0.00702701258252986,0.0031520872610447,0.00431261820701437,0.00135517736620893,0.0375464625810018,0.00137159109768206,0.00369027502466755,0.0093852685913303,0.0233990564528023,0.00102347385712213,0.00615978089181048,0.00479745914247493,0.00912055303815417,0.0248660037719109,0.00167365132890031,0.0199915900216539,0.000348312554835873,0.00797361322270541,0.00110729692597988,0.0101829651489264,0.0016929458925531,0.00200230621729509,0.00907998393046966,0.00463687796656644,0.0556736223182167,0.382889943168025
06,辽宁,2002,0.0215046309134269,0.97678997282458,0,0,0,0.00170539626199323,721.24,4203,13000,0.0476175970827823,0.0138386438936318,0.036202524164747,0.00853132292305979,0.00589725670295203,0.0226333391100633,0.0105288268683237,0.0030288977670147,0.00617282067952486,0.0108692215285783,0.0384087330454873,0.0504146759288013,0.026031126693123,0.0529628624599504,0.0128053566295957,0.0326166862895831,0.0156668539770886,0.0155844371799454,0.0197933615325477,0.00455555815354845,0.000281309550995038,0.00129523379284128,0.0249405682723354,0.00010547647984918,0.00227489520449268,0.000680616028585198,0.0335127400307642,0.00093007452395175,0.0124442895758245,0.0516278316505758,0.0227441367043589,0.0172921326226435,0.00733021990015381,0.0057789111579074,8.06810715564928e-06,0.00140317361388198,0.00016203840256857,0.011574454972901,0.000806718948019757,0.000168417860607458,0.0014823177193742,0.000253438667082992,0.197714304551337,0.171028529051444
07,吉林,2002,0.158401758582789,0.841598241417211,0,0,0,0,309.34,2699,7581,0.0538626312726732,0.0243772292749414,0.0105236436390046,0.000310951299468464,0.00623247166898224,0.0371112656853006,0.00456581121362833,0.00315335086339508,0.00883811919716101,0.0106343244516541,0.0292235815507724,0.0591877577786171,0.0408084356121788,0.048675884560621,0.0202516691557139,0.0160174483147893,0.0444173801722192,0.0172397019835635,0.00329969372658255,0.00436506512707133,0.00288931081756793,0.00159734276245009,0.0283228645301498,0.00161039156334218,0.00239122872426739,0.00807481645571229,0.0168847656211428,0.000812472885765646,0.00916347586088849,0.0291631096417978,0.0101211142631769,0.0107421163935774,0.00189624705293056,0.02008059364842,0.000843187325301911,0.0101209965466505,0.000842272795304954,0.00837991596178028,0.00166056443510069,0.00135407436094528,0.00601929814148516,0.000863646605688518,0.255007017184445,0.12806275987377
08,黑龙江,2002,0.033544235924933,0.966455764075067,0,0,0,0,466.25,3813,8507,0.0465691749482039,0.0129123088780143,0.0206336728320282,0.00263416324232482,0.00634597073945457,0.0242247462990741,0.00623032624214314,0.00230347680654757,0.00925993516628091,0.0126056143489267,0.0316561352149976,0.0504254520697018,0.0202176669110611,0.0395932712445776,0.0182048213857527,0.0182496950513603,0.0217702861974125,0.0107433029639617,0.00480079238870062,0.00650436520410731,0.00129146207857964,0.00270098260076572,0.0307154783007806,0.000864152467822282,0.00442221607057007,0.0057869898672282,0.032307746788222,0.00220920769828113,0.0126716411426187,0.0335270839689748,0.0146412743421936,0.0120824041719089,0.0112920292551945,0.0106290515645313,0.000311444821446443,0.000969714726146062,0.000547466619420866,0.00299658794100052,0.00108193045145301,0.00117128202148926,0.00203218315544754,0.00020909509687109,0.209317013495109,0.240336383219314
09,上海,2002,0,1,0,0,0,0,616.48,1713,34277,0.0150836713690431,0.00902729543310741,0.0104698342782902,0.00410215858336897,0.003019303404042,0.0202282228620035,0.0203880310949898,0.00445674526899008,0.00723846326452517,0.0187909687104626,0.0186780653053911,0.0745346726361334,0.0246418338707646,0.0697830724131452,0.0218945934068895,0.028182872659332,0.0277055655276164,0.016444755253028,0.0457839465008646,0.00822218283803087,0.00336335073413631,0.00227810740322731,0.0178328661062146,0.00222287440491145,0.00131701714665879,0.0100553102957594,0.0384705449872813,0.0010896687461297,0.0118820965748779,0.0457419255053272,0.00681101452132857,0.0415347487337993,0.012125241798967,0.015521947545753,0.000851600680121617,0.00242778359012183,0.00575578617017335,0.00305659186038718,0.00066100350780862,0.00100984248532453,0.0043146754753404,6.82228974445828e-05,0.113166715993529,0.209764808155359
