"","01001","02002","03003","04004","05005","06006","07007","08008","09009","10010","11011","13012","13013","13014","13015","13016","13017","13018","14019","14020","14021","14022","15023","15024","15025","16026","17027","17028","17029","17030","17031","18032","19033","19034","20035","21036","22037","23038","24039","24040","25041","25042","26043","26044","26045","26046","26047","26048","26049","27050","28051","29052","29053","30054","30055","30056","30057","30058","30059","30060","31061","31062","31063","32064","32065","33066","34067","34068","34069","34070","34072a","34071","34072b","35073","35074","35075","35076a","35076b","36077","36078","37079","37080","37081","38082","38083","38084","38085","38086","38087","39088","39089","39090","39091","39092","39093","40094","41095","42096","43097","44098","45099","46100","47101a","47101b","48102a","48102b","49103","50104","51105","52106","53107","53108","54109","54110","55111","55112","56113","56114","57115","58116","59117","60118","61119","62120","63121","63122","64123","65124","65125","66126","67127","68128","70129","71130","72131","73132","74133","75134","76135","77136","78137","80138","81139","83140","84141","85142","86143","87144","88145","89146","90147","94148","91149","TIU","FU101","FU102","THC","FU103","TC","FU201","FU202","GCF","EX","TFU","IM","GO"
"01001",59643958.6403184,0,22251368.3721056,904767.300135396,4870188.74578712,0,0,0,0,0.474717008380759,0,85319553.2002541,36463598.0007289,39789797.6604996,6328533.48208041,2009664.93367717,196405.476270771,45355145.1241018,1904363.81631332,19030.5399350803,6771843.09117505,18587405.3954968,17006200.4299663,6784340.9624035,8576780.33282128,6281181.20401918,39826023.3791748,260686.965254564,4139154.08735263,0,679786.301092615,0,0,0,3261290.0010726,250284.06557773,10694728.0782174,0,1076165.42347148,421173.99859969,0,0,943146.158846914,622779.932953184,243707.104371882,94971.1985338133,2980.54073431465,2383147.38907881,483282.80950799,19268291.7095107,478707.483617472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867657.915574049,0,0,69263.8180924271,128.111506300245,0,3322082.30911208,872067.247750358,0,0,0,513916.913457903,0,0,5745.31900887771,4327.39582602921,0,0,0,348.846481501299,0,0,0,0,43329.2892489445,0,417673.181945346,14700184.4595175,413117.857113314,0,0,0,0,0,0,0,252424.937674004,0,5944633.94930804,1371415.40604345,553567.568466135,227883.270812097,6532.95590360453,111510.004776642,7173968.29025925,1731270.59775643,24203.2551148556,463247.649646248,183057.792180508,260171.89597886,0,27508.7549894284,111404.783741492,90108.0162189641,26035.3546322406,0,0,493983220.957912,47016596.7260812,85833589.5347783,132850186.26086,0,132850186.26086,0,7219687.10019945,7219687.10019945,9528661.66367526,149598535.024734,41959296.4489249,601622459.533721
"02002",126.177743517469,3119895.2489743,0,0,257626.977414398,204722.949914347,2209.0982800917,5860.03846413498,16176.6319541806,17891.5416126853,106.347490691981,2380.98708460872,3987.27163305218,18006.5117623154,436.358691278586,2450.50497530583,641.574198434592,153458.533377591,332.054698010246,528.534706506474,664.917238842386,64203.7469663161,11905.3333930721,37656.6490125722,2955.64660150926,2918.16463464396,22352.3076888904,189.070325058806,1338.35269500819,0,0,0,0,264176.251373316,23046714.4788155,2559962.75547453,4881831.33431922,0,907813.923987764,243042.831884165,8034.38422188064,1549.46133533036,0,2524.59528841285,790.117506307644,2243.68567482999,93702.225524661,2697063.20015141,110790.611342877,155082.93204772,25481.293233438,6860736.02561017,0,5965.1508099295,101188.14356684,65485.5862734875,35408.1660410321,2335.01067949089,8559.36671790702,4303.02979887107,2276.31576824831,14680.2917661189,3358.06303708852,7610.06595031983,7120.01134958934,89778.7386372862,923.565958083312,7019.9489417938,3888.37532107695,2525.76065551594,6949.84477876154,165.980062773983,2727.15358179476,2887.68951477212,34178.4447913386,661.300478052112,1118.00576222145,30075.9675381774,14013.459071569,8344.79595402661,2479.17087186029,7674.22218645795,2749.35910187685,6114.19770718833,4146.650060805,3361.14187486866,2387.65741599553,33159.9180060119,4080.76595698286,0,1048.68120142317,1660.78709845023,0,0,0,0,207795.932847471,0,0,6967.66155689963,541.556126619605,0,8835575.16373666,1802499.58257514,1079936.42270275,581531.909670618,79804.3127214652,955962.093153754,5747.34028175391,6959.82904478812,11062.6732806537,8332.44700693777,5425.61725245141,4121.46365271706,0,552.488076428068,369.446832815795,32829.3601244372,8515.68398846529,2186.90144695018,2827.52049999721,1260.9911455478,8134.96771554795,121867.269300252,19801.521545764,98.1228906399374,528.949124246236,455.724053630386,276.096654506727,90024.0544853047,4791.07766604139,3987.50175830002,418.325671524635,0,32723.9811446054,5636.92071771451,5161.05217015282,722.938982540765,1031.52142742075,39930.1941750977,67834.5835297283,49475.2184802513,2992.09586106576,11118.9433893633,0.123058341016959,674.20193175325,0,482.557156216584,346.059982245494,3011.98560044408,8808.15270738227,0,0,60466112.9625164,822910.149519757,1159428.13858767,1982338.28810743,0,1982338.28810743,0,2545650.91660319,2545650.91660319,132294.828009394,4660284.03272001,9785323.14403053,55341073.8512058
"03003",93.7429538693099,0,19105284.7010522,0,1313842.32555062,0,0,0,0,0,0,0,1842.28983623699,0,0,78625081.2964823,0,1336524.84533073,47098.2888411872,13294247.4440787,7433.07801227609,6966446.84234023,16422.7258498724,410367.066750358,0,0,86036.9560291462,8060262.7073166,2141680.99775724,0,0,0,5330307.78320947,0,0,0,0,0,471005.943287459,213129.176254133,0,0,0,604.453100641042,0,0.977407483744201,0,1966404.66837268,830.852573767486,16189090.7934129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011148139847354,0,0,0,0,0,0,0,0,0,1561519.35591064,0,0,0,0,0,0,0,0,0,0,0,0,0,663.297607602226,499.598245827211,0,0,0,184.219479340954,0,0,0,0,0,0,22.6509300849609,7882763.85685035,0,0,0,0,0,0,0,0,0,0,0,790369.327558432,0,760.52754322357,1085.15445414446,0,0,156108.545881452,0,0,17525.3006357434,0,0,0,0,0,99475.3311457549,0,0,166095017.133191,35878705.7871005,56258217.0993847,92136922.8864852,0,92136922.8864852,18494370.3357459,722773.654153023,19217143.989899,786463.810568541,112140530.686953,2968537.95955762,275267009.860586
"04004",0,0,0,3626400.98029747,603314.178845459,0,0,0,0,0,0,0,4235396.93292023,0,0,266.151059333215,31841740.6585773,954729.017980801,73198.5472646187,0,15574.5135304479,1427782.83692883,2358.74098916157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386975.918408658,0,0,0,0,0,0,0,0,0,2410.13341907027,35168.8191908302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.9641236269,219.908472963997,0,0,0,455.877512187989,0,0,0,0,0,0,0,27885169.6466746,0,0,0,0,0,0,0,0,0,0,0,683482.523254638,0,615.93857108211,1171.79798828603,0,0,0,0,0,39774.5032578362,0,0,0,0,0,36271.5375939289,0,0,71852771.1268614,7889399.8420015,44186300.666889,52075700.5088905,0,52075700.5088905,12903.7449165442,744069.781591319,756973.526507863,1327768.33680258,54160442.3722009,4228576.34643,121784637.152632
"05005",9363332.04807484,5952055.71915675,889535.733496646,4103967.85927382,4551298.23034449,0,0,0,0,0,0,0,76545.5370465449,0,0,0,0.0211530940310278,427616.1577343,0,0,0,0,0,0,0,0,13822512.2763957,6146.3666349926,1334324.35768567,0,0,0,0,0,239773.101924193,0,203421.063909586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40970528.4728306,0,0,0,17683471.5271694,17683471.5271694,0,0,0,0,17683471.5271694,0,58654000
"06006",336215.357064176,36417.5401887401,104764.961951297,54145.0885729512,97799.8750594905,36778887.3168524,69424.4226807865,340939.39346439,408831.720932889,1115485.90673007,59673.1671272095,264011.750963916,158152.144383606,168847.070298607,102064.732392751,221699.76198523,88392.2388505043,597406.198615104,51815.6981584493,35676.0270371329,150398.174490878,234560.81615109,341924.821957954,243707.132256332,21200.8320934211,11086.3253297957,1067937.08713214,89172.3134824568,142174.817236948,163024.391120664,136441.268240436,171279.706677369,146186.440111222,161716.25673742,327293.481467646,4269.65804456173,3495681.35013958,31079.5174389351,9895.49471769505,13520.6877463411,129703.490277466,24398313.4067905,11444857.7968838,4628500.36332025,306045.838334688,392161.205850788,1477369.90333485,3384231.97508415,38544.5037010563,454863.275935437,1571426.58294659,366269.223461013,236663.424827729,9247838.18505247,2984986.87898452,13236775.5960426,1772425.50134731,2485357.2881641,1291184.5229236,3211579.8761879,2433242.24172961,19309619.8349315,1091824.74998168,3030283.01712574,319360.516599298,501737.435041229,38390.7558115556,92024.1098443128,676.483623075436,32308.4642077983,49859.862791045,0,136943.228167125,87635.7115207878,92119.327845166,25084.4060707436,8298.83575216435,23038.8214889578,10192.6190764482,34563.4258210987,24417.3157380868,1140.56873585814,18816.8785252423,34802.2643668758,79240.5928939823,70632.4858190292,366.552059464571,866.052425180514,7116.76031175284,0,442.470186262455,0,0,0,0,20092.1631551483,91077.6792931552,33800.2031402097,39765.8135544417,88418219.9564335,1564150.2858944,0,224094.677984951,27308.9838934561,187889.094730945,100140.848411432,148608.100143633,114258.25988297,35147.1181672473,9409.36512161771,10269.2640554658,44825.702816835,0,0,0,0,7273.60438058573,16662.2223078803,0,0,0,23885.3519268331,50851.8926016495,20117.3151531973,0,0,0,0,0,30792.7447279282,0,0,58565.9008322663,0,58.1914649287897,205400.92944485,3691.64388967091,138056.599340186,2921.39780544576,6669.68482718534,40373.9193521606,247153.235446941,95755.5740037898,579142.469815579,369274.999517521,19937.828651571,8113.6037261264,123.415584858857,18525.5402986512,4189.23386240834,12984.9792032541,2669.17330468118,548543.172222,252248137.714196,829552.8923349,497730.171040504,1327283.0633754,0,1327283.0633754,0,-692976.675910966,-692976.675910966,446405.179916568,1080711.56738101,17067535.5415,236261313.740077
"07007",0,0,0,0,0,68942.9735331783,818689.781147732,25549.6830727684,19369.3831485851,18974.908505751,21699.9455587693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86358.073322432,0,0,0,233069686.660661,9944.19661388365,13496005.091051,2042575.26329242,1142103.32764027,574345.961101864,3132874.14332799,686695.124289526,27090.7837726534,39104.4775676425,939847.874038425,251393.611812216,939947.516409235,0,0,0,734344.398118385,453010.038371037,211570.797012614,326520.275262342,36241.4252503486,449386.767747988,81810.0382730387,541561.854590245,528158.90467244,836226.634052172,110062.111858543,131678.178625566,56097.843254697,85331.4864218528,32055.6153887141,5441.48200940462,329524.080340254,235075.788722965,152331.302666244,15466.9900214124,16473.1938708208,67917.4662235942,253634.991769236,298533.081680527,72625.4236781765,55980.6253712789,70823.5323572656,24945.486211731,0,0,0,0,69049.6343563688,0,0,0,0,0,0,0,0,0,0,8656136.428789,27306844.9847531,0,0,0,0,0,0,0,0,0,0,0,68.6221876249836,36.7726306612422,0,468.613738853864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084.27905554063,0,0,0,0,0,0,0,0,52619.2751051412,0,0,0,0,603.178676602368,2150.61396334877,384.315885826705,71288.5361809016,299786763.849013,0,0,0,0,0,0,9421221.98969179,9421221.98969179,1506774.91854255,10927996.9082343,181295520.266645,129419240.490602
"08008",0,0,0,0,0,0,0,10359002.3286142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183788.978812096,0,0,0,0,247364.117779791,0,44299.7233963691,0,0,0,0,0,0,0,0,0,0,12206196.0632205,80603435.9665048,11895175.7855876,2010593.75045138,0,2533286.94889705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96697.1474470345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120179840.810711,0,0,0,0,0,0,-1334806.72415594,-1334806.72415594,494781.278524973,-840025.445630971,60814686.8283,58525128.5367798
"09009",0,0,0,0,0,0,0,0,2497046.74916404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203762.429496764,0,3610950.70327965,42813.1304501566,0,288690.204096788,0,1099928.51203409,26595.3657481045,25617.4799917686,0,0,0,0,0,0,0,536542.091432695,1188138.23599866,14944.189828143,0,0,2058566.89597319,59440573.8093283,11271770.5074404,2893488.43576831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451512380747627,0,0,0,0,0,0,0,11917.069257657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138192.592539214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85349538.8533404,0,0,0,0,0,0,-223679.090146712,-223679.090146712,794766.173870963,571087.08372425,33868616.0551111,52052009.8819535
