V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153
9939.17112216715,0,2007.61862176627,99.0306575786721,488.499814886132,0,0,0,0,7.24569476518368e-05,0,10628.6680156476,4831.96955491521,4622.86103154685,710.358482498287,366.664153916074,14.813741533046,5647.79036277108,244.135508369676,1.61231160420676,742.432081315394,1866.28038825355,1703.4446427934,649.838581313641,955.947810108798,136.759321777318,3889.42028520563,19.076650185991,408.060164581143,0,118.283104964408,0,0,0,372.086904551792,29.6459334712969,1179.08338706809,0,131.220007438441,47.5105819815965,0,0,111.177800303967,76.5096547291208,35.235916033228,11.0367926828959,0.438048439462001,293.452220677055,62.278717065144,2151.4415853545,63.2153270502334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5050649690205,0,0,9.55067072094825,0.0319189788247054,0,418.359699064291,91.3785936580604,0,0,0,69.8663049398962,0,0,0.485981733123577,1.19514018167163,0,0,0,0.0439864052238404,0,0,0,0,5.84325209535797,0,38.9106421296543,2012.37356641755,-34.5259696310973,0,0,0,0,0,0,0,46.3353422427144,0,765.472520772544,265.841665508949,79.8920348436746,35.2762675475786,0.634431736731008,14.7840966558223,756.541266329362,176.142164747027,2.85656230543458,69.7121544107309,19.5152153176576,22.6399414835616,0,2.78927073361196,14.484196939982,7.28124751346735,3.15620237372267,0,0
0.0185151939207545,452.663371082557,0,0,23.320421176854,31.2838404841702,0.27330560614912,1.1806883233256,1.75424166884147,2.54302902958191,0.00765064774073906,0.232083670233049,0.770187883319831,1.92531654425686,0.0485209062810704,0.199255515755039,0.046062493365122,16.0385430830091,0.0428673590482314,0.0456847343666165,0.0730559278855839,6.0364086298516,1.11659930524571,3.13978322949831,0.335131345451403,0.0780237227917873,2.06785370701159,0.0147365639126064,0.0754862121273762,0,0,0,0,27.0288062428453,2710.16580332489,279.597704690731,657.146179170958,0,113.428069029433,14.6029719059233,0.405950887709738,0.208592971226313,0,0.286837573842122,0.104829779272226,0.257596180725079,13.2376891857693,330.497898109437,15.9271439893397,16.1253318821535,3.22916287194808,841.470289205845,0,0.743290604417648,14.0107657865737,6.24339229941534,3.31069017995799,0.301713032051069,0.918849899302304,0.546476217931889,0.342009688920539,1.58093980469529,0.438709006379145,1.19705068613217,1.02326351266395,10.8380153150954,0.117106339718191,0.741935586647036,0.52558888993018,0.311863558422471,0.806958723947761,0.017868081559741,0.330231662418591,0.318821995306712,3.61228920593307,0.0704608489912002,0.180538773858941,3.21768345740239,1.52309539955131,0.909832664993203,0.330217648564553,0.612738193626313,0.318883436374509,0.932039325591563,0.573601390253153,0.316277930512483,0.341031284877232,4.62718035877857,0.427348353839831,0,0.152084157556169,0.0724808411554184,0,0,0,0,22.2179714432592,0,0,0.980198910488472,0.137658821846908,0,734.700594899913,230.633622382951,126.442295881364,61.2130107654484,11.0338833053729,132.591370464855,1.2400326941441,1.0239751328329,0.871413324218958,2.14300457740311,0.821182037568604,0.43833460445996,0,0.0687782708332582,0.0361930744713764,1.43276614369369,0.15451928699173,0.535799933144797,0.355088929679655,0.0981692319647251,0.77319202267918,16.1964690022342,-1.54109279929692,0.0187927040193102,0.137152789712511,0.0938365292990427,0.0778074361840278,9.72477540449644,1.60334045945893,0.252517633957768,0.0715077225760095,0,4.75460408217111,1.02796979542588,0.758749511182769,0.114175139504494,0.0932849835383769,4.92992932306062,11.1338012149426,5.12485277582836,0.328854461437985,1.59358989692535,1.22167164888667e-05,0.0530185171212425,0,0.0499192692394902,0.0459030651582263,0.248310440863306,1.08919979979854,0,0
0.0121136637741609,0,1264.06598107561,0,118.346105451461,0,0,0,0,0,0,0,0.338409725603881,0,0,8065.22655159509,0,120.145676958128,6.05182022315762,1035.89066839165,0.816805013424652,571.457601909823,1.64879186178368,34.3788147725625,0,0,8.56690653428162,636.432000007465,176.349220173617,0,0,0,468.291136311299,0,0,0,0,0,48.5280709183993,13.7829724321388,0,0,0,0.0688541861778732,0,0.000113848283320017,0,253.966141403385,0.109435353407237,1652.45210095389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71382377710146e-06,0,0,0,0,0,0,0,0,0,177.670406927854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460112374172246,0.113152151403549,0,0,0,0.023281959791435,0,0,0,0,0,0,0.00195452105877369,922.578126027325,0,0,0,0,0,0,0,0,0,0,0,126.928713424133,0,0.113033451192431,0.105624968155916,0,0,15.9193347398266,0,0,1.87262347988976,0,0,0,0,0,10.8325196008512,0,0
0,0,0,384.653552603245,56.8318022915408,0,0,0,0,0,0,0,593.393829022325,0,0,0.0224743842484525,3310.03021563258,83.0071387681202,9.09378429584691,0,1.65472371581676,126.087426465847,0.228961332150198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8415414061656,0,0,0,0,0,0,0,0,0,0.306927680278789,3.80544360958625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233253788812836,0.0540094543273183,0,0,0,0.0557049066833141,0,0,0,0,0,0,0,3439.61792457621,0,0,0,0,0,0,0,0,0,0,0,117.399912050163,0,0.088509673588124,0.110278050206813,0,0,0,0,0,4.109141052324,0,0,0,0,0,3.89631125422456,0,0
1877.96517703121,857.720190750579,54.8177773190198,414.426999428301,452.100049799025,0,0,0,0,0,0,0,13.3199215404147,0,0,0,1.45519243899334e-06,40.2614036692329,0,0,0,0,0,0,0,0,1549.65425207586,0.431571003050328,127.494025489788,0,0,0,0,0,22.9549094473896,0,22.8178604749634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.3149605494518,5.75707262963965,7.00443747417575,6.73814065477379,10.8086953543952,7050.07894606026,10.3011066794336,104.868868532724,54.1297258936237,277.009658400301,5.24131151384932,29.6470348462049,33.5494654750386,19.8269423823714,12.7522940051577,22.009486764077,7.46989830486057,68.5698591877043,7.55249802307983,3.38659871314208,18.7473827164564,24.3025680020985,38.9403273512828,23.1598112690625,2.71190328206081,0.361904865652127,120.623808773345,7.73547386084528,9.79060791944192,20.1903391104637,26.9925734931734,18.1141411524885,14.5686435587007,20.2011780617513,39.9260573136637,0.575007169460758,478.012842163732,4.47890592144966,1.57962699240706,0.991852610712751,8.00133560100875,2974.77853994655,1532.74425248211,708.28405956722,56.1674304975631,51.8159938324817,238.631123042029,544.872768699255,6.08537108941812,57.7451426020223,196.893313481633,47.3056861511298,33.6027975480277,1463.53851502971,421.345371523484,1980.45740894311,243.939310082253,355.658599534268,237.585761713016,425.136696854479,413.957380098762,2538.89239951045,167.454738365676,524.961931909115,50.4054720102611,73.9507684278497,5.94331949491773,11.8747315122851,0.111641383675656,4.87055750406091,7.06833655503785,0,20.2460171652498,11.8132344016691,11.8869627399095,3.26319316431671,1.63618927204352,3.00935827357872,1.35256291504155,4.60100292996809,3.97083337775152,0.111186477327258,2.66463666593619,6.47727275941458,13.3829066940181,8.11477457281737,0.0639216234244509,0.14754927736716,0.909939697144809,0,0.0783455676391178,0,0,0,0,2.74144626863048,11.7551468192714,34.8092198691322,5.96187520007051,13436.5505797671,378.686470858748,0,32.0862699607538,3.25348098078534,26.858742962127,12.8697876745242,22.56493922367,17.4500439103674,9.25861171218789,1.69021162338631,0.987627913072096,13.9206010487989,0,0,0,0,0.850744532870739,0.85278341758706,0,0,0,2.23850774504162,5.30796821151975,2.94366927089453,0,0,0,0,0,4.06124638581468,0,0,12.2228697079132,0,0.00928532644483918,44.6113961360937,0.605760404157147,23.9451046922601,0.322562672708859,1.00538987655031,8.09064482164061,28.5899182269925,12.8493815010191,97.6495124100969,44.7592984213063,1.91427958753988,0.929170804386473,0.014021004401264,2.69867663872914,0.379285601624689,1.76372953699641,0.508810881126209,71.955366224547
0,0,0,0,0,-2.40671798821952,-24.0836636098154,-1.24606821735365,-0.415995308079856,-0.534139345195802,-0.377877560876194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3067289191746,0,0,0,34818.363313333,-0.324048584893309,-420.607988079925,-83.5811827740765,-49.1966668059567,-15.0454211687586,-103.788643650382,-14.9181083961333,-0.802481809796398,-0.984221043906814,-28.8301928941236,-6.43722562061554,-26.4593682196263,0,0,0,-24.8500116260682,-12.8493212487004,-8.24810807549774,-9.34455233797792,-1.07840649689902,-11.714464145394,-2.11673078435887,-16.8711043080952,-16.4622410993826,-24.4355296386074,-3.37809478996236,-3.3687405144976,-1.83546312122084,-2.55037032767377,-0.90095237563348,-0.141794928932524,-9.65867985326519,-6.28242310103822,-3.89709391655103,-0.39891130148468,-0.643910869536542,-1.75884142495839,-6.6728663420424,-7.87879439243756,-2.341553035062,-1.08193165816445,-1.98838087375765,-0.92046701945625,0,0,0,0,-1.75034327784987,0,0,0,0,0,0,0,0,0,0,-268.704455960759,-1436.75980203003,0,0,0,0,0,0,0,0,0,0,0,-0.00251406410047501,-0.00077455151440623,0,-0.0133192249293069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111394414837525,0,0,0,0,0,0,0,0,-1.26447369844489,0,0,0,0,-0.0105659645362103,-0.0526691734487735,-0.0118836363506219,-1.73385494919458
0,0,0,0,0,0,0,135.598368881112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75153939116958,0,0,0,0,1.64329168433594,0,0.340953642162436,0,0,0,0,0,0,0,0,0,0,92.0003041579988,18040.2206751951,81.5653717318482,19.1534906088215,0,22.6365536637635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06795161164935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,94.7885380122144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41834987020354,0,131.805989448635,1.50443932775826,0,10.3732018277891,0,32.7766268375387,1.0806115282017,0.884407804406335,0,0,0,0,0,0,0,20.8749844857092,53.9038577921041,0.586638720297383,0,0,73.0590493567418,9414.6797537361,481.910614114465,115.976370720303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70293550019243e-05,0,0,0,0,0,0,0,3.3375364725774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84612017520287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0814644362347345,0.0931774575251391,0.0353173657421377,0.0198687548246065,0.0229165892476947,7.14213085679574,2.58332424758674,4.51828834231965,7.4030837782053,182.338687274655,4.82629089122482,0.0589778250603003,1.23544342305158,0.845462219481948,0.279830116864467,0.190313145682826,0.702560484115173,1.16123388972583,0.260710306443483,0.11485409682337,0.771692310344761,0.672326869283275,0.352628012413236,0.0944168854560522,0.768460963309809,0.00283308932076377,0.659477180259684,0.060849133301718,0.00970805876236285,0.402816083024766,0.295743156644543,0.00872054043395655,0.211398160033581,0.440867013534866,0.708236888578643,0.797813548658603,18.320970796209,0.0873420958231682,69.6788068079105,4.60699313681525,0.0426298474635994,3.11139008099451,669.762678742121,257.347626474498,6.74338165685874,62.2345367178237,31.8663583219376,66.6363569400409,1.73321420064898,13.350790780691,0.551885878941911,2.1290286681728,4.34316165112984,1731.7511764757,706.506334360747,1249.01255744957,552.793314217878,1076.81775798784,398.249643940927,441.968823886444,19.9082849143986,10.9303391788745,5.46078413400843,24.0668958122894,9.76979636276868,17.0865773841812,0.774076126386215,0.337475336464638,0.39073138032695,1.44161577313138,0.0261681364196206,0.990148266350166,2.80249143625621,2.08486602545891,1.75319843897353,1.38309889873479,0.401949644341926,5.87106409429761,0.105476755106718,15.1894371755407,4.10997374027811,1.06598172662678,0.00868984209213912,0.4318752428641,5.2160946371334,2.78091619056225,51.0287490185885,2.55911658344346,0.581273088742446,8.9003297627378,0,0,0,0,0.048391741349783,0.619545845182015,1.9961367926441,2.53194767466296,1.70967590860934,12.8068438667446,0,0,727.313594969824,216.353462255571,664.803849391315,507.40513364863,149.931096625026,221.474688484406,8.75181499926438,2.02776314918412,2.47092343399632,6.07656560015624,0.0158590722875014,0.00597183138490197,0,0,0,0,0,11.0969790525383,0,0,0.482182521090529,0.0568980624265152,0,0,0,0.00577707058665573,0.00578283381439974,0.131880225015679,0,0,0.0544457178665218,0,0.206079518103969,3.04553938836942,0.339553361714451,0.119326583783543,0.291265587581953,0.29858967218596,0.247867840187825,0.368067837723307,0.0220589012378885,0.369938196912755,0.00238071221459005,0.0720524245833148,0.0887073266612399,0.0289472167360756,0.441094344991392,0,0.0730066112939851,0,2.53117067983288
