2021,2022,2023
5111.69982924097,5652.62192228526,6291.20053848986
1036.32478808215,1038.25027236623,1143.24468479445
272.254981506139,301.625399058779,306.875643717058
495.088541942094,551.645555384137,573.860902629132
0,0,0
1987.29170175384,2769.80722768597,2787.24339140634
16327.0950761388,22783.4938755999,22687.4791505787
9337.00611152656,9147.42721919376,10630.176518163
4734.99335432034,4578.1007711607,5442.7217672479
896.544924215033,890.736961034018,980.455111636379
0,0,0
286.049925004378,318.891256632656,331.247813488455
267.58208221255,283.698907359958,307.338401253422
1030.4550373194,938.626893635306,1082.32677154928
186.281066986799,202.143060808897,210.896848622017
2926.64955066855,3233.29743402169,3450.3262715685
1053.71686374803,1165.01878318256,1213.06755746615
810.069098063546,899.62352297489,915.201380336149
27.4963234174766,31.748059604835,32.4603408453472
1053.38694741744,1163.96156950543,1214.0739612338
28.7731734716365,31.7214258909332,34.2784563328916
798.190714849565,901.636743367783,947.062841136129
397.186787232069,383.99103721417,460.897888022527
197.82965204166,178.308310023669,217.876876758216
50.1556521217476,47.7044922027278,56.5233781227608
170.251127300313,160.546236780838,193.371808108231
535.882551089564,545.573860988705,492.73384312996
28.7486709781833,28.0405079001528,24.7014197355652
64.2999835809107,64.7728039846978,56.504758870833
92.2869919079637,89.9886370987662,81.1099126415004
445.805592516896,426.687668743025,402.967713338928
902.188269980434,885.738883285217,818.275373569918
780.118691141357,757.21430616355,679.374622972132
513.930543699394,499.214824817325,521.278524269588
941.612955588212,939.180224318386,838.431796214524
160.143054994615,134.959321703634,142.095226105105
1843.3234227625,1736.86608793553,1658.00928202086
103.51922606865,86.3437864690654,88.9047558193823
394.187292092166,321.138874044697,328.875203503638
520.277582909587,428.227424846555,446.868573186809
2341.59875933489,3202.41718828301,3285.31316833467
672.097382441239,946.10529455979,957.486867936134
3636.19346000944,3909.9463804783,3837.72205856704
253.132204871351,271.424987146567,255.793356056951
69.9448649835515,75.3217062749818,70.744487948994
366.118349347379,370.621991505349,355.398589958241
4668.03607239357,4830.19487581758,4854.24258485507
2087.46379150642,2170.66441746033,2100.93283518473
1905.14196935474,1924.50983288165,1933.06763143543
3225.9302282913,3492.02442446056,3389.30451997005
157.213808992369,168.126971126096,158.067094423143
439.811399829347,428.548603748722,387.046973633035
1458.79619143008,1497.30895674822,1468.26865841303
123.3754579032,118.535759468997,108.355658783885
3.82239063466305,3.77821326785957,3.46158356405047
19.4109283273997,19.333626312795,17.1718017573092
614.584616144968,606.553949588379,535.598985556501
93.5231710094935,91.1953706120539,81.3545636306619
35.4304232857926,33.9123290538582,31.707639496025
556.043816956415,530.80765197569,482.238061892776
308.798890120052,291.960327877721,262.768535917479
1370.08609027248,1342.41359345825,1221.19198531269
1355.06953792495,1319.89601007679,1208.55861658113
4867.4845299638,4928.31775889231,4603.86459121113
802.860267691867,794.108120953018,699.900823955969
941.061099328211,912.97242070922,822.994082379465
977.283303415379,923.137034406884,877.71849305387
615.323592575651,624.640011094558,579.89526003456
278.13239673493,261.961327947494,250.410975669987
1455.45088232462,1408.51273816989,1328.28949562832
673.728140001671,629.411582671947,619.137501274304
583.992145310475,583.700089806205,557.046977650594
1480.52127602799,1491.66181736058,1374.58612238373
294.893552693615,297.098556465882,278.929046969428
395.963767065146,377.282166667019,358.335111817707
64.0685435443759,64.5520525354457,59.8862394269949
1604.6388258641,1652.30234129645,1515.84257910803
3992.85626701565,3610.00979515299,3640.05624327641
3483.58149863157,3350.68709419805,3359.72425602766
1937.79810175256,1842.30916467488,1779.27811215752
54.5126965400843,52.0990214859632,49.0612314557095
187.140864764089,179.270942822951,169.332733116996
794.681129403838,780.371582695175,721.218706520609
421.602645919563,406.930733387493,372.96698986265
2705.01398933444,2585.71382985235,2483.59447052068
598.060447461368,585.949958643263,533.964947179283
352.749061069661,339.901131936628,321.184646682782
406.082147829142,393.695702737957,373.6978573235
1007.59303123288,1001.7458991306,947.133835424997
4135.28887858283,4076.8278761045,4080.78010197506
3122.64255258826,3028.19021886867,2867.32888685005
695.533895837714,660.532371872446,630.171705069099
306.763148181525,292.687928096875,271.51201034411
25396.0107356632,24688.6633549048,22927.0490502102
0,0,0
4426.38066687357,4167.15638769588,4230.47804568196
108.821321378029,90.6695888025156,89.5593259872391
785.270997560851,756.218929658731,840.688874501453
247.515496692364,202.005741911974,211.694390253799
17.1985238070878,23.6969731905347,24.0829209637127
0,0,0
0,0,0
322.5593805396,261.00938023479,305.851181533815
28.2017021662701,23.536360260807,26.762514828577
116.537195126809,88.484458519526,111.301328673315
53.4825612695737,41.6978511741522,46.7827147504133
32.414264076641,26.4782501261571,27.7027436015708
28.4739409853629,23.7565821419628,24.0798038094189
0,0,0
0,0,0
110.673874027508,110.766794832263,105.371417670378
21.102095543241,20.9465209039298,20.2658903106486
394.524028996039,395.941281768332,373.578780304743
19.487872748284,18.51584154672,18.2864861673415
29.0301226485442,28.3995925706415,26.6589224351513
142.825972290252,140.346433852014,134.829405519071
3081.11589111081,3034.50883928788,2995.38284340261
20.8539033171734,19.8496108756733,19.4942223945538
0,0,0
0,0,0
0,0,0
489.986927573515,481.835828987024,461.025046850864
1676.37835940994,1601.23658764691,1590.83966538874
1437.56057665055,1482.50546754844,1389.80775396253
186.074662177321,186.51131548566,176.84708195476
0,0,0
0,0,0
2469.11874312287,2499.7842248692,2414.62039275315
350.929490982971,354.951639116929,336.411645351509
617.165519238606,623.858976959102,587.667508233802
0,0,0
581.115785366536,579.315571219239,555.700430260962
0,0,0
0,0,0
3162.64696481967,3220.92128163499,3194.85111777586
