2021,2022,2023
21310.0192065904,22549.742904237,23429.7069002002
482.008686867067,522.070309318536,541.894745332618
18410.711724229,19239.4267773264,20385.7118982175
7130.75178107798,7393.95419008572,7929.53233609516
2217.09397390064,2310.37820418994,2431.70953042246
-126.16069674597,-134.188471454296,-140.448249148272
153.655691879457,161.187699405449,168.626722195206
251.892716107328,263.322114419568,275.187005868189
54.7452487481375,59.6926397883978,62.2859242556495
373.624145947351,397.049707659162,415.615952701075
0,0,0
6248.83538389389,6526.26600840718,6867.47707524056
647.414212031836,680.286190865596,709.411728774983
3541.2080980545,3717.57380163503,3892.93171456593
366.961991912182,390.441075087626,406.541502730034
17220.0908494425,18027.7685379553,18803.1944753779
3527.37286590234,3680.43305181169,3864.56807209448
8462.73056329619,8878.72077484853,9276.53467329911
3406.36314995994,3578.42147571107,3754.37218357601
4054.17374432914,4320.23511990205,4519.78537930125
2045.54027256375,2153.35783961686,2249.24718636365
11936.9885798472,12377.8595892513,12914.6031379064
3855.28368949794,4033.82760510893,4211.487885876
3294.64909995883,3514.2987003171,3661.29155504847
1114.24018069392,1174.79404719458,1228.88336294797
3603.15433265409,3720.86291829194,3887.3054236286
2144.64062027758,2251.88520020397,2356.91147183399
69.9570269440695,75.2795785319608,77.5782375506006
56.7126990740367,60.4918372497373,63.1519969456723
1435.70580792542,1505.58435503057,1569.45659031508
6460.5542953136,6782.64598024051,7132.54698532667
14241.2978887264,14964.7043593308,15634.3233736887
4635.7083575069,4936.18728517696,5132.79004544094
6130.84899039658,5833.76080478515,5242.40371909403
1215.69936154913,1288.07054504127,1357.00303265708
9035.51777801745,8999.46069642433,8878.40791471723
506.26892681154,544.37023113697,575.922900602554
196.931336527156,212.189617940893,217.525001654665
4298.62011333508,4531.28203618564,4719.69611433121
6101.03651091137,6207.91897453407,6499.81311155605
4491.88813009923,4688.65145731784,4917.20478835214
452.811954177022,485.527125427729,508.306147634366
2073.56393967701,2176.63661541491,2291.404722193
351.036075877975,379.902251458676,394.554250490445
397.100088211152,423.483491793416,442.038423258393
482.601385709458,522.54413457318,546.086510649432
682.998170496827,720.622697085493,754.093896359638
426.018949514951,461.80229574963,485.066487161138
3112.18022727188,3275.29282993044,3434.93260341992
9843.21809949023,10168.8605801548,10612.3828056553
406.61213936675,435.156842417021,450.958270162443
1557.55139004467,1619.55898741811,1695.79007067479
5349.66746044274,5618.43784960237,5908.45257142731
222.950590185553,238.715130278017,250.060220239015
369.44918775351,394.121581608956,404.795632996817
497.517567617384,539.815770915135,567.31469191134
1329.49787284358,1358.70073828703,1418.41920581629
1941.86762782621,2090.76724104476,2181.99760992148
64.8041963047824,71.842164192973,75.7089512545234
253.701273652963,271.576941583132,286.996225434678
109.998583558753,116.04646157442,121.159312464732
3231.94261958438,3392.48322743685,3566.18087738016
249.98747237968,264.614915007431,277.010696848559
662.615096103245,724.079612103507,755.480682397937
1207.92165885519,1272.55273152144,1332.8428126857
11507.3467304636,11975.5916498939,12511.553415388
3344.57455331693,3503.10389202671,3675.11788360779
4556.97453931964,4761.90794989618,4988.06742997725
6178.18374313288,6405.8550928319,6701.80813924158
4268.15300747635,4452.58265906943,4650.56920170005
4486.14272682794,4740.35070575431,4933.81629582967
1651.95518674743,1762.72059410176,1846.93959742776
6233.69807768046,6553.86048725445,6855.02180649404
7417.1495295001,7727.42106751862,8087.80539124795
4967.00694918531,5211.50527467148,5456.35494856667
1311.11504155999,1454.59299683282,1508.22482378959
5237.29123754368,5511.7590363474,5781.04277820562
11635.2611359077,12151.7867195792,12734.762779895
38804.7497105123,39784.3402514994,41900.6603683894
3715.68776231996,3893.91687581418,4095.2235971038
3736.86198004186,3938.33817261932,4136.01012453736
2558.58520922514,2720.98200489926,2850.03216113405
5332.75772668426,5599.07901491205,5887.82459314739
4499.17714699198,4686.54688611614,4907.95825979412
7712.96847780616,7983.79095159178,8407.43624597391
1476.0333860549,1549.88750119357,1627.81148637811
2036.99419132067,2139.06347510075,2252.86827583667
10343.2295901182,10810.5913608703,11384.232502502
4940.51401166207,5144.98065309873,5367.81651699096
16225.4712321785,17202.1501338617,17892.9239832008
24794.3450069869,25833.6845625318,27084.3220438431
3945.40078950593,4113.32827168993,4325.76170323438
3476.89602566099,3663.47699201359,3842.78816629757
14786.2556444645,15237.168555313,15843.7555548872
2403.24557333928,2546.26843444528,2640.57238480238
4180.85643155751,4462.4667208687,4637.11169763824
1465.92161247391,1568.82077127605,1638.85025774418
51.6296529330902,55.5415304015281,58.8448456244579
811.279297732114,847.513811440119,887.248943863311
7134.26203088431,7366.11612857286,7687.24166560642
3871.62966526285,4067.27332565139,4270.02251666054
2426.08766586995,2554.48982289492,2667.41670562233
129852.778276735,134516.721895388,141696.528900162
22581.6700189244,23200.0407966618,24157.6917753373
73064.671713269,79494.4093107805,79407.2391960898
34674.4472806006,37571.3417697109,37276.0064183498
32179.237225207,33216.4281609045,35374.5224248956
9113.54948366155,9621.96020787057,10085.1376405513
28744.2157185651,30150.905379379,31680.8535179592
26008.1310073741,27326.8325157157,28614.5177914006
797.09030165251,838.719615395769,884.906194786547
868.849850498456,918.337917002641,961.886320660332
5046.89542268297,5249.66399036158,5511.70043040029
11815.4540578563,12263.3598757741,12830.4970316294
84.0223351593961,87.5275848170269,91.4394169210903
3209.49806267198,3347.12201994907,3481.59128166732
1444.42245388437,1551.94814983704,1624.50447053734
1629.65102406193,1697.55624774796,1770.03005705184
81.7486592679958,86.5172086586894,90.584519005494
6790.8854798685,7129.23994848619,7492.10125129538
