Province_index,Year,Hydro,Thermal,Nuclear,Wind,Solar,Other,Size of Energy Sector,Population,GDP_pc,S_01,S_02,S_03,S_04,S_05,S_06,S_07,S_08,S_09,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,S_25,S_26,S_27,S_28,S_29,S_30,S_31,S_32,S_33,S_34,S_35,S_36,S_37,S_38,S_39,S_40,S_41,S_42,VA-L,VA-R,S_01_2,S_02_2,S_03_2,S_04_2,S_05_2,S_06_2,S_07_2,S_08_2,S_09_2,S_10_2,S_11_2,S_12_2,S_13_2,S_14_2,S_15_2,S_16_2,S_17_2,S_18_2,S_19_2,S_20_2,S_21_2,S_22_2,S_23_2,S_24_2,S_25_2,S_26_2,S_27_2,S_28_2,S_29_2,S_30_2,S_31_2,S_32_2,S_33_2,S_34_2,S_35_2,S_36_2,S_37_2,S_38_2,S_39_2,S_40_2,S_41_2,S_42_2,Other_2
00,2002,0.165980032704532,0.817434356684933,0.0160391245341418,0,0,0.000545881556397182,16542.05,128453,9506,0.0521287338722614,0.0103108852990506,0.0128652560885111,0.00568753930505849,0.00492885814103359,0.0195670473141813,0.0206520649686736,0.00535362101891406,0.00971708873377974,0.0188647498023263,0.0194975364405781,0.0671100037337663,0.0167411094255098,0.0514274636346781,0.0159154801060749,0.0271926368827244,0.0194324655842931,0.016492311401293,0.0297069169365327,0.00467489506097908,0.00312510437359797,0.00262565765415486,0.0222072755529869,0.000585804265829559,0.00149179465415153,0.00587527189713666,0.0338426610213763,0.000999123375131213,0.0135388509121904,0.0343285522951483,0.0107588573905593,0.0201249029359343,0.00662346044396589,0.0123453824706087,0.000494319770801629,0.000507814976638572,0.00311431456885218,0.00578199325693,0.0014166353028119,0.00102213098564089,0.0021326006900651,0,0.188081564956993,0.200709262498275,0.0381209746378544,0.00552161169676074,0.00300656031896046,0.00263908706740855,0.00271330700004352,0.0318526628804931,0.0216133333842119,0.0159531220978793,0.00916136782713245,0.0149231427429124,0.0160745657204853,0.050292967496656,0.0124295771126396,0.0370684506622114,0.0146059618694937,0.0298249440670643,0.0227083139654343,0.0172366883367405,0.0327006970084336,0.00400308456069003,0.00470325977022388,0,0.012600040669429,0.000924050427960469,0.000902782643302709,0.068718560592621,0.0232077713534264,0.000977943911783391,0.0077253612485447,0.0250857133903909,0.0135680227143578,0.00841499043922498,0.0063046900048283,0.00867616217211172,0.00106696479535742,0.00125058055866247,0.00291313423113285,0.00930804543328981,0.00778118718327736,0.00660832338028007,0.00300152900837029,0.0150196381626508,0.388790827455268
01,2002,0.0253923278116827,0.974607672188317,0,0,0,0,183.52,1423,32231,0.01269528446341,0.00912170149802838,0.0114776273412696,0.00374944917506133,0.0018320102761849,0.0104474196587448,0.00526713773397733,0.00193543065666251,0.00523940427724669,0.0234535453458499,0.0238837177777885,0.0360748278863701,0.0227837989395838,0.0266210154816958,0.0161458163279456,0.0189354503426288,0.0161625282216926,0.0109143674645818,0.0724716106359685,0.00942654853834647,0.00118158153001871,0.00159906581342643,0.0238532680628455,0.00139197644578736,0.00192712535189125,0.00585626191343946,0.0272135280781821,0.00234126725654956,0.0247187876288084,0.00584261616879311,0.0141158783008039,0.0512005649522437,0.0244358916379079,0.0431728341473177,0.000249840509604661,0.0101051803316461,0.0220787872148323,0.00359681387883827,0.0022031248092289,0.00205943014596914,0.01502574193304,0.000264425435056633,0.176174353060495,0.200752963350237,0.0134157650484894,0.00357763433356273,0,0.000131227498447912,0.00011049185948463,0.0170819493997742,0.00402597346873153,0.00346699515159879,0.00262936557250077,0.00671932303552886,0.0257030306977876,0.0332555544303801,0.00925881268799384,0.0140251276535472,0.00649831169359473,0.0185401012617379,0.0189198709904415,0.00982014816479559,0.0855404956992609,0.00697147466652774,0.000724927882423697,0,0.00440503420800347,0.000574778653039043,0.00121088028809205,0.0715716268175013,0.0236631299879824,0.00152434569344995,0.0305251900906554,0.0152078048945058,0.0126178296699113,0.0415896423310372,0.0311188996822862,0.025845288966874,0.000764576044668765,0.00996986463439726,0.0278879427655114,0.00369923062492557,0.00987924289430995,0.00589230988259632,0.0129555848690459,0.0117528993938656,0.376927316410731
02,2002,0.000439963336388634,0.999560036663611,0,0,0,0,272.75,1007,19161,0.010137323290148,0.00585273545547989,0.0152350586774913,0.00174402440771004,0.00346745238601765,0.0244075786382338,0.00897690856834798,0.00763779800144854,0.00527587873965589,0.0116415174369057,0.023086473951058,0.0587322820594945,0.012581948705462,0.0657418397316124,0.0306751967227642,0.0301158660468813,0.0339820890070308,0.012287667539469,0.0715576698177075,0.00325839394558425,0.00428006734429392,0.00168590153240196,0.0209812276979988,0.00138629450837084,0.00320566174904837,0.00425795740802004,0.0499753075486014,0.00122218782675282,0.00584617762161832,0.0383680697054667,0.00996318502166653,0.0295317397790586,0.00761900144122481,0.0248165622970441,6.70316678599812e-05,0.00872465044229223,0.000874317748332645,0.0184068058367766,0.00102443400633252,0.00604476524742215,0.00308885475312576,0,0.142582778282782,0.179651317405006,0.0177954712244373,0.000168100945968739,0.00881400124149512,0,0.000925015245850947,0.0285936381859897,0.0115324717904526,0.0178022312206062,0.00730099929893654,0.0124045235764168,0.021366439821302,0.0589548990878252,0.00767710366693131,0.052187225770126,0.020386890605034,0.0209402428755453,0.0274650652729189,0.0281807260341064,0.0985166732148888,0.00373836667034862,0.00475912653751849,0,0.0065442454812276,0.00211375385155416,0.000763792509772838,0.0416480128727537,0.0372890124267367,0.000507306767014141,0.00502485933171747,0.0541833343782524,0.0105651702591772,0.0125504595065552,0.0154362591998105,0.00723297321626131,9.9487402310439e-05,0.000853837552719409,0.00352764501294114,0.00791920127464572,0.00816202122857817,0.00540894289935635,0.00131741170989261,0.00710896514423616,0.322234095687788
03,2002,0.00404275459493571,0.995602271830875,0,0,0,0.000354973574189477,1014.16,6735,8216,0.0484463807074988,0.0329440588961094,0.00743004542865783,0.00593865909688242,0.00984425563919954,0.0287175276697543,0.0190746624250326,0.00540058872018012,0.0097040534697004,0.0137587932720693,0.0257761761679927,0.0659044459815457,0.0228142338787454,0.0732111343763362,0.0261998008188464,0.0110885420876979,0.0142967189748846,0.0105838391314481,0.00290159897630467,0.00437079324819532,0.00155787831576854,0.00357888052982562,0.0202749688694891,0.00131497162445108,0.000414021051630876,0.00619217787819021,0.0434693264514526,0.00169872189257767,0.00862995836359669,0.0437372772550944,0.0127691592662001,0.00861477821166399,0.00468891212230529,0.0133908660254727,0.00048653549339266,0.00169788882691925,0.00109051183476361,0.00624891089648359,0.00096544009943096,0.00139268429991642,0.00161999230431074,0,0.192701420033621,0.185058409386361,0.0476419673582516,0.00487587547362964,0.00121973164710093,0.0125037583891778,0.00229046907638888,0.0400224710425721,0.0261159955636947,0.0155607119898366,0.0066152293679752,0.0208611357554075,0.0107706758561014,0.0578474377039309,0.0420142411968353,0.0503630926571991,0.0209512890462737,0.0321965152180577,0.0131188274996523,0.0133801201269448,0.00354242021760786,0.00647604617205377,3.42277080995601e-05,0,0.0150707904685317,0.000508866248445777,0.000259731774487005,0.0674765930247364,0.0256436549491334,0.000562573356367524,0.00525067344650471,0.034295557240363,0.00655610525707261,0.00389017360134244,0.00549895901027495,0.00402854248220008,8.47178951500161e-05,0.000138034856197774,0.00120374753951489,0.00170608563177601,0.00264379841434444,0.00297240534316874,0.000742581261303302,0.0153043397123119,0.377759829419982
04,2002,0.0223215346946538,0.977678465305346,0,0,0,0,841.34,3294,7082,0.0434028150195044,0.0342135205506077,0.000119586569707087,0.0105697098493018,0.00849151993697237,0.0124442349157194,0.00561201672156233,0.00222396080144412,0.00563042090572313,0.00907175957976382,0.0316358987709743,0.0469963640157491,0.0320081061290077,0.0723694976770913,0.0210707798108781,0.0169917544379679,0.0191247709430678,0.00325747965545417,0.00354512120922559,0.00428504660443209,0.00514971824128479,0.000762412626846675,0.0309270736030859,0.00101277859790831,0.000618490281615707,0.00877524095261682,0.0687278459125323,0.000797372451284571,0.00861051741027696,0.0297841250138946,0.0127888766248498,0.0156705127755102,0.00377962220475788,0.00862739806925889,0.000260075904868325,2.9759525160673e-05,0.00654892376556271,0.00127120909558345,0.000156923093424027,0.000723105677231725,0.00168016388093135,0.000397111916290783,0.217977836812009,0.191858541459061,0.030934224014592,0.0508932976592803,0,0.00549943836767806,0.00450679061579994,0.0163076713189844,0.00519081279377628,0.00196423022894968,0.00115273977767421,0.00400782596288416,0.0261524472608399,0.0320607794728587,0.0281892785429802,0.0635072735935953,0.0155956365913858,0.0186244046469874,0.00542697951017081,0.00358928312574389,0.000821870736160866,0.000910093000852199,0.00446283183597216,0,0.0172675328090132,0.000854799193693597,0.000602015896014816,0.0925520623086859,0.0485488768003599,0.000951025043991282,0.00663438337126302,0.0292362247322333,0.0119178061822458,0.00816629809545539,0.00308938404405174,0.00527700369156245,0.00118609482225702,0.00131776802504984,0.00497416751334039,0.00561073696041207,0.0086017622189157,0.00428220269076485,0.00580964840776587,0.0134859198646882,0.409836378271069
05,2002,0.012914103964285,0.98449924316453,0,0,0,0.00256749247954628,521.91,2384,8146,0.048894460348429,0.0290559875834082,0.00461071465708862,0.00769758522138044,0.00545986291775308,0.034612656665914,0.0103280111635315,0.00188683433394211,0.00707154281369844,0.0176363020494997,0.028342953559272,0.0337553791218268,0.0364523618145644,0.0444181184250104,0.0191509278352581,0.0156476938386214,0.0138942848300415,0.00662439425887815,0.00702701258252986,0.0031520872610447,0.00431261820701437,0.00135517736620893,0.0375464625810018,0.00137159109768206,0.00369027502466755,0.0093852685913303,0.0233990564528023,0.00102347385712213,0.00615978089181048,0.00479745914247493,0.00912055303815417,0.0248660037719109,0.00167365132890031,0.0199915900216539,0.000348312554835873,0.00797361322270541,0.00110729692597988,0.0101829651489264,0.0016929458925531,0.00200230621729509,0.00907998393046966,0.00463687796656644,0.0556736223182167,0.382889943168025,0.0751176494435443,0.0232920115819718,0.000949014388622059,0.0047395625428826,0.00355008441238478,0.0498181429429246,0.0170509477984297,0.00492027290630827,0.00509456502099661,0.00694435712808858,0.00788376139466508,0.0227917977685674,0.027303996555048,0.0411817629133401,0.00637720718314224,0.00912951637594272,0.00629687352685962,0.00314407406041118,0.00371105315579042,7.2834973866237e-05,0.00123204833746608,0,0.0311360904121019,0.00146789674439042,0.00184352733821574,0.0748689506338889,0.0381841885126007,0.000626444948245369,0.00254420181991879,0.0120726151786507,0.0150010119015278,0.00865615496527015,0.00797023699796848,0.00410309012506583,0.000345550320730699,0.00232586850721859,0.000643606763531318,0.00759001553390058,0.00366209452757174,0.00889270836394984,0.00744149930356756,0.0114591472041908,0.438563565486242
06,2002,0.0215046309134269,0.97678997282458,0,0,0,0.00170539626199323,721.24,4203,13000,0.0476175970827823,0.0138386438936318,0.036202524164747,0.00853132292305979,0.00589725670295203,0.0226333391100633,0.0105288268683237,0.0030288977670147,0.00617282067952486,0.0108692215285783,0.0384087330454873,0.0504146759288013,0.026031126693123,0.0529628624599504,0.0128053566295957,0.0326166862895831,0.0156668539770886,0.0155844371799454,0.0197933615325477,0.00455555815354845,0.000281309550995038,0.00129523379284128,0.0249405682723354,0.00010547647984918,0.00227489520449268,0.000680616028585198,0.0335127400307642,0.00093007452395175,0.0124442895758245,0.0516278316505758,0.0227441367043589,0.0172921326226435,0.00733021990015381,0.0057789111579074,8.06810715564928e-06,0.00140317361388198,0.00016203840256857,0.011574454972901,0.000806718948019757,0.000168417860607458,0.0014823177193742,0.000253438667082992,0.197714304551337,0.171028529051444,0.0374809989432591,0.00542013408303221,0.00635278602614226,0.00421549878142985,0.00345635330752233,0.0270127829252825,0.00882477813281949,0.00999646565840771,0.00519995827457678,0.00703599554023182,0.0511692578596415,0.0454552876750752,0.0237295460748957,0.0566809678143447,0.0128235548769816,0.0420942964222075,0.0289539486136025,0.0131766124762345,0.0216875103849269,0.00312762077281281,0.00113071892936482,0,0.0129110764192183,0.000641439565495436,0.00185133606603672,0.0497788138355663,0.0226928334539754,0.000562666529231389,0.00696928130664044,0.0347923246494408,0.0176202114181528,0.00991609328501856,0.0081173934131135,0.00281078911360151,0.000640586716658237,0.0039453291649694,0.000876225707267767,0.014468022551151,0.0051842743732353,0.00791746897597317,0.00296468090145255,0.0115712453534433,0.368742833627566
07,2002,0.158401758582789,0.841598241417211,0,0,0,0,309.34,2699,7581,0.0538626312726732,0.0243772292749414,0.0105236436390046,0.000310951299468464,0.00623247166898224,0.0371112656853006,0.00456581121362833,0.00315335086339508,0.00883811919716101,0.0106343244516541,0.0292235815507724,0.0591877577786171,0.0408084356121788,0.048675884560621,0.0202516691557139,0.0160174483147893,0.0444173801722192,0.0172397019835635,0.00329969372658255,0.00436506512707133,0.00288931081756793,0.00159734276245009,0.0283228645301498,0.00161039156334218,0.00239122872426739,0.00807481645571229,0.0168847656211428,0.000812472885765646,0.00916347586088849,0.0291631096417978,0.0101211142631769,0.0107421163935774,0.00189624705293056,0.02008059364842,0.000843187325301911,0.0101209965466505,0.000842272795304954,0.00837991596178028,0.00166056443510069,0.00135407436094528,0.00601929814148516,0.000863646605688518,0.255007017184445,0.12806275987377,0.055728242216508,0.00210607279126912,0.00149732549938585,0.000735859146782513,0.00105063152932533,0.0736305502937354,0.00604789262138867,0.00256841426082794,0.00523584287783347,0.0047250071622462,0.0144368572870603,0.0333761855336652,0.0441462903810063,0.0190236072295585,0.00256915555979195,0.0112043007981667,0.102350665020649,0.00382636000512423,0.00235722142005045,0.00178563723291212,1.60097354027481e-05,0,0.00732139896439451,0.000543615919228362,0.00106081541434634,0.0702146401908714,0.0281125759920832,0.000648437620783249,0.00865376393341292,0.0336367977927117,0.015159967792096,0.00643687325480566,0.00781004991007335,0.0127725949057793,0.00055391775379414,0.00316311776649776,0.00230409566628946,0.00198593046297075,0.00681886446715121,0.00592140651487719,0.00252120643913043,0.0128720235777979,0.383069777058215
08,2002,0.033544235924933,0.966455764075067,0,0,0,0,466.25,3813,8507,0.0465691749482039,0.0129123088780143,0.0206336728320282,0.00263416324232482,0.00634597073945457,0.0242247462990741,0.00623032624214314,0.00230347680654757,0.00925993516628091,0.0126056143489267,0.0316561352149976,0.0504254520697018,0.0202176669110611,0.0395932712445776,0.0182048213857527,0.0182496950513603,0.0217702861974125,0.0107433029639617,0.00480079238870062,0.00650436520410731,0.00129146207857964,0.00270098260076572,0.0307154783007806,0.000864152467822282,0.00442221607057007,0.0057869898672282,0.032307746788222,0.00220920769828113,0.0126716411426187,0.0335270839689748,0.0146412743421936,0.0120824041719089,0.0112920292551945,0.0106290515645313,0.000311444821446443,0.000969714726146062,0.000547466619420866,0.00299658794100052,0.00108193045145301,0.00117128202148926,0.00203218315544754,0.00020909509687109,0.209317013495109,0.240336383219314,0.0420657316957005,0.008827578204176,0.012333192746191,0.00113651885814797,0.00236596723633127,0.06678168277227,0.00539634429465781,0.00584810261222858,0.0134048283135894,0.00940060193999111,0.0338172139462323,0.0350890759469825,0.0144031796123565,0.0101749243822055,0.014701692993059,0.0255295560299266,0.0175465311412245,0.00651780940285149,0.00213181467676104,0.00353909869437845,0.000786210681835895,0,0.0174724678589275,0.00214626916761532,0.00193608789861504,0.0669296031750553,0.0178978957230741,0.00130185344777546,0.00898919713257676,0.0202835695960671,0.0153826688429499,0.0129784851141766,0.0109578320738958,0.00523004618812793,0.000707893401184851,0.000641975710933471,0.00325271944179164,0.00566470685830768,0.00561827238554449,0.00599472234247948,0.00236012486548061,0.0128025572822213,0.449653395312102
09,2002,0,1,0,0,0,0,616.48,1713,34277,0.0150836713690431,0.00902729543310741,0.0104698342782902,0.00410215858336897,0.003019303404042,0.0202282228620035,0.0203880310949898,0.00445674526899008,0.00723846326452517,0.0187909687104626,0.0186780653053911,0.0745346726361334,0.0246418338707646,0.0697830724131452,0.0218945934068895,0.028182872659332,0.0277055655276164,0.016444755253028,0.0457839465008646,0.00822218283803087,0.00336335073413631,0.00227810740322731,0.0178328661062146,0.00222287440491145,0.00131701714665879,0.0100553102957594,0.0384705449872813,0.0010896687461297,0.0118820965748779,0.0457419255053272,0.00681101452132857,0.0415347487337993,0.012125241798967,0.015521947545753,0.000851600680121617,0.00242778359012183,0.00575578617017335,0.00305659186038718,0.00066100350780862,0.00100984248532453,0.0043146754753404,6.82228974445828e-05,0.113166715993529,0.209764808155359,0.00939663529395596,0.000296762657174353,0.000280781762229387,0,1.75927584480618e-06,0.024767793626944,0.016521634341694,0.0227599197343322,0.00787518469377522,0.0174259556218572,0.0120834100691741,0.0602225574636003,0.0115042982667025,0.0371046920841767,0.0218041257542303,0.0398104838873494,0.0563174232664661,0.032589238611216,0.0543533744241982,0.00755560357332973,0.00335215509814776,0,0.00882202150832817,0.00152210061158786,0.00127286968779114,0.0538697138742896,0.0453156091922177,0.000969042582218323,0.0103136926063881,0.0264446272837114,0.0136334824263489,0.0232604223084707,0.010582259563462,0.00762763357809272,0.00330536681494387,0.00247184889452119,0.00439858432363596,0.00440683780272911,0.00351482697558337,0.00606905184498536,0.00554909460317396,0.00769559986223448,0.322931524148888
