V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153
16146.6031533729,0,1924.5773411245,171.765256341761,1024.84762530037,0,0,0,0,7.00755710857002e-05,0,11270.876782726,7561.17458000342,7170.32435587494,1044.65062406624,558.742837742703,20.1549806087314,8942.61446188789,418.493592605349,2.80328901099203,1221.96261608337,3179.82634308093,2703.39438379977,1100.48556484167,1450.18417550379,518.147727479648,3081.63987392432,17.5859601362552,300.287813552097,0,99.326610407456,0,0,0,234.318576932365,17.2427640676492,1620.858925334,0,134.484323773279,60.5908663140456,0,0,171.321429147619,119.249371954753,57.2793327201544,16.3726280122061,0.659415424611336,459.359959527272,96.4273482788249,2825.29933017635,68.2939099820812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9405340216973,0,0,14.3544,0.0250753513131886,0,418.709768073186,91.490456382171,0,0,0,92.8671387224886,0,0,1.10076901115636,1.64665903730069,0,0,0,0.080685901523995,0,0,0,0,10.3991951648144,0,47.9281612370177,3116.6787536989,90.1794955762599,0,0,0,0,0,0,0,3.23319497312284,0,1333.87040379697,432.1861181723,155.169090836293,64.1532732261674,1.03472777950859,22.0781152548369,1092.65932759463,281.469213075959,6.18570916284852,138.603431460107,54.125321165656,63.1178227019134,0,3.06511392262259,14.8425622035792,4.87396298980646,3.03884190873106,0,0
0.0304209970036654,712.154491787192,0,0,57.7765112715708,61.4811817165968,3.35784677763651,1.25341357467188,2.83362116739191,2.53201483193085,0.0193221935475746,0.500748373143396,1.13252725736789,2.80618960314548,0.0686036127941768,0.312595112775297,0.0631193198842569,23.8636988453755,0.0699576399447515,0.0746409062706252,0.115028446501396,9.66478165252699,1.8143885835268,5.11005644089855,0.483616563217293,0.378232238366177,2.18663141316902,0.0162668314660374,0.0724014086440392,0,0,0,0,16.8966315663204,1835.51381550156,193.284760314798,874.693018874505,0,147.057136431413,19.7883922029637,2.47107808525485,0.383671797072853,0,0.428732230935075,0.164370822279887,0.416291553026885,22.050651768753,523.945839196731,23.1731662655067,21.8007726567862,5.18922306319131,1220.04991572055,0,0.839057683062289,16.8531784489088,7.2193482564552,4.09761507449345,0.335295734901553,0.896887342447289,0.581209913395532,0.41210367902829,2.50177397111151,0.524129966256796,1.77683752073758,1.71548391158425,16.3036639899324,0.142052850478063,0.902556442995432,0.65111226052695,0.378985154429102,0.980614104674542,0.0211894096094304,0.406034377844713,0.66623735438849,7.10187371411358,0.137906786012223,0.349029921719225,6.23304460518322,0.711705963494844,0.526045681772932,0.102505187288049,0.181918375463986,0.101231850030202,2.93895274637349,1.76590818678768,0.963192368149929,1.03541976778609,14.6008895640812,1.36947969330515,0,0.145427835134758,0.0696963414184446,0,0,0,0,14.4728470721126,0,0,1.3665,0.129252777744138,0,1094.76792923692,336.703857082061,179.357248817939,86.6385709291146,15.473721364803,196.7025968795,2.34096831117254,1.69583433042848,2.03202366793124,3.0397386762304,0.801211446390477,0.602276665278055,0,0.122510368829019,0.0884892308997644,2.23676059211462,0.313201988235519,0.975363171758734,0.650594750586684,0.198024876178796,0.894945604338521,23.6312532651684,4.14399311654109,0.0277998626003144,0.211946260082582,0.159877687848359,0.136744158505125,15.8832006806643,1.30415356044821,0.440937218026473,0.00513689611444618,0,7.78547824429513,1.70306155293411,1.38694568911188,0.195116792442244,0.176071310408915,9.4348480446976,20.2399315888569,7.71152542858635,0.733124697647644,3.18941406994989,3.48826885990669e-05,0.152171248019948,0,0.0515479115768423,0.0442021147559438,0.203913843638844,1.04401692170444,0,0
0.0166190905961007,0,1278.43855135863,0,200.311222410509,0,0,0,0,0,0,0,0.384776669117085,0,0,11661.8526191583,0,148.477510545681,7.29639914675068,1390.72678843011,0.94554953850441,692.540689096776,1.84039871035468,40.9481665349772,0,0,7.16105485337846,526.503213681879,136.912472240574,0,0,0,237.883508558966,0,0,0,0,0,42.9828273919118,12.7599370931595,0,0,0,0.0754805247039492,0,0.000133348820279942,0,300.312193094076,0.127786308011469,1526.25988558044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76247343505056e-06,0,0,0,0,0,0,0,0,0,92.1922841259379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121602819679218,0.140152575074845,0,0,0,0.03003747501175,0,0,0,0,0,0,0.00183233458728246,1123.97363923239,0,0,0,0,0,0,0,0,0,0,0,182.91046462692,0,0.150933584366589,0.136200855146828,0,0,17.8919298614514,0,0,4.88713289963645,0,0,0,0,0,8.66993877015754,0,0
0,0,0,508.393187410332,90.855378077857,0,0,0,0,0,0,0,746.542613843704,0,0,0.0307273975991157,4409.81999519346,125.970308191122,13.9572214243233,0,2.34449398220564,194.520248277304,0.277443739868643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3629436248205,0,0,0,0,0,0,0,0,0,0.438282188411034,4.00255494029991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485365776155012,0.0726066898324588,0,0,0,0.0914890447250224,0,0,0,0,0,0,0,5187.76414777743,0,0,0,0,0,0,0,0,0,0,0,186.890324440287,0,0.150453186861298,0.137054911371051,0,0,0,0,0,10.2040985716223,0,0,0,0,0,3.12633885885252,0,0
3419.33403450554,1521.2419429977,59.9532468399528,869.35239713,1241.24723841904,0,0,0,0,0,0,0,23.0859370732309,0,0,0,2.20975493978272e-06,70.6082773720782,0,0,0,0,0,0,0,0,1590.24197618669,0.561503996582939,118.670246663837,0,0,0,0,0,16.4920655389598,0,35.7983040984586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.7443724702411,5.25594441989525,5.65896470885433,6.96095882857124,14.614305944214,12018.138804133,105.470084087825,91.1353699803467,71.5763332509441,225.782923612383,7.22417384399759,57.9689959863895,30.2848145518326,18.2791782737711,11.3021956481273,28.2659118367062,6.80099679453251,70.5301864534178,9.49521002453393,5.02614736098945,19.4030175457426,29.8068597167032,34.7215649459793,28.2640954938705,2.41159811743442,1.15558168786955,80.5451912615919,5.11198474666174,6.07201360473543,13.0500092664993,18.0025920210247,8.28514833054745,5.91181892523619,8.02201875573273,21.1898718959165,0.281854248509829,386.032167385725,3.58636007807488,1.11766102473494,0.733510600546832,39.8709619004909,2986.10338512248,1392.40771693965,626.176443969722,53.0687273436868,48.481955855995,223.925326356747,514.690149396768,6.00713337191792,44.3662241797715,179.266907250596,38.1294257794806,27.8158707249725,1002.36891234553,299.661319427468,1347.25001624157,172.441409386634,237.854627177599,137.465707528579,265.063788315523,440.281573752011,2332.72715115007,170.323376857282,618.513724943748,69.5654811264706,60.7111054817952,3.93449155298242,7.88355245250521,0.0754787851285867,3.23017638218675,4.68763759462254,0,13.5854394014809,20.2083464149254,17.2416781348368,4.82532910942741,2.58944663457203,4.57522392157208,0.51738308639451,2.17768820020379,1.00904022559123,0.0270230796396642,0.692475583551516,16.7198279892825,33.7279253389264,20.2302782958322,0.158873433033151,0.381137102691549,2.38708248740661,0,0.0408853752683204,0,0,0,0,7.79869944469064,4.87260429536313,29.2675777242565,23.0150711464603,13232.0097,254.417071233341,0,27.0640042860617,2.74529592917118,22.3599324102911,10.7372648482507,19.1995394611733,15.6652361638614,14.3083489539294,2.29148147146782,1.88529438808192,16.3441362659232,0,0,0,0,1.74124277027221,0.91820851528521,0,0,0,3.74895766229674,5.25546113235687,3.00917926628227,0,0,0,0,0,5.42999005390333,0,0,0.718790405974629,0,0.0128420702040882,62.0243184235651,0.756136840458149,32.2631701820478,0.332262218279356,1.05007113073122,8.02673097467041,29.2071409963244,20.798244357202,166.036656183704,104.621267979536,3.92157503376845,0.644158272730055,0.00924341674822741,1.78688420579294,0.188976736115304,1.02551939842567,0.711655470119719,90.2409045277186
0,0,0,0,0,2.87296003682987,259.012285831428,0.758303993615681,0.470796658887304,0.3726164908977,0.547081115714437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98599697151732,0,0,0,46020.2292730866,0.341674630854255,401.353122713533,76.8810110840031,48.8249941721611,14.7867610068949,102.300644974704,14.8018812576481,0.786263087480429,0.762778194590759,27.5720534082008,5.4500194799069,23.0064229011831,0,0,0,18.4518014788789,9.02632324710394,5.64079400584637,6.11973634813991,0.910422856168227,10.6266789901226,1.77182424674664,17.5457227052548,17.6577135995354,21.071701778641,2.34900410876529,2.34918990979159,1.30346015056104,1.77665545544132,0.627611724336578,0.096392674008873,6.80776043757556,7.52575859961323,4.39211499851208,0.447565399339739,0.713609012282902,1.95310684231489,2.68114055718623,3.9170161290854,0.625004608225673,0.276207268909114,0.542773264017955,1.66383017876815,0,0,0,0,3.21543097554211,0,0,0,0,0,0,0,0,0,0,243.2506,1066.52784915866,0,0,0,0,0,0,0,0,0,0,0,0.00181381665417083,0.000745646805126448,0,0.0144187912199406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129302220032835,0,0,0,0,0,0,0,0,2.06970121457878,0,0,0,0,0.00566635393666683,0.0353711404172713,0.0142257141060488,1.62818985307675
0,0,0,0,0,0,0,339.280644998105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87182567996904,0,0,0,0,6.70379785823489,0,1.0864357608271,0,0,0,0,0,0,0,0,0,0,319.339775051379,12906.4420617822,280.713907632065,81.8990340120847,0,80.2585404446911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09679581952882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,245.568703917786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.957684458128,0,287.909853780706,3.16779817920024,0,23.337470681934,0,74.4457085233871,2.42367587723206,1.56902709239613,0,0,0,0,0,0,0,33.5682816096451,84.3874762105106,0.879462223318291,0,0,139.991376828954,11627.6923781106,1183.27109518551,228.938915913315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14576011844795e-05,0,0,0,0,0,0,0,6.5288377957016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1911157303234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132340858737517,0.144940726606444,0.0359701132639038,0.0368406002349584,0.0561365371130784,13.5809746839368,30.7094648277534,4.7425703531197,11.8234914948702,179.504138210237,12.0518142617219,0.123124564980323,1.75774485779434,1.19231241730374,0.391194959705185,0.295203384947495,0.951873641296805,1.69928562046861,0.411668478725126,0.182586448960628,1.17564163782984,1.041537417229,0.554409615010333,0.148681418130182,1.07297331282938,0.0124621830403468,0.632786970968706,0.0649893397718327,0.00833096326670521,0.417413902472636,0.337983784051256,0.00481754079778514,0.127198593381696,0.250082244597942,0.445887111483284,0.500457731094515,23.5951720623408,0.106538326353311,89.3196443106196,6.17259153241308,0.256570940491564,5.65842263771558,1024.58753121811,372.178476259397,10.2305454637313,97.3129488479318,51.359723762751,102.213893804524,2.43994874306129,17.8464125456008,0.804754947182657,2.97570949115638,6.24544210222765,1891.47088091364,822.274834791949,1397.41424408285,661.997566585555,1157.86296181612,384.352254454187,454.814576681037,23.7182500517335,17.1020073200868,6.45057104892402,35.3212421526211,15.847678992656,25.4138959409139,0.928397437570853,0.405911093979379,0.478595600641516,1.7321592099317,0.0314412876213356,1.16097234653365,3.40697622365812,4.30764166985926,3.40802067693362,2.67652752920255,0.768324237645153,11.244870346864,0.0487316339019413,8.68329050126491,1.26143629805801,0.312919113236034,0.00272758196831678,1.34647219358084,15.8775723631665,8.37361055645037,153.185573258516,7.98424165695441,1.84176617260108,8.44996926984545,0,0,0,0,0.0322194450717361,2.12870438374323,1.15462812448261,2.57126404611307,7.97154851762824,13.8239,0,0,983.411685373373,286.609977347963,854.091986501136,649.55431991813,203.441287787686,317.906879812789,16.3358313665743,3.32041183330909,5.6969783345172,8.52220653448837,0.0140406581863583,0.00811294497059555,0,0,0,0,0,19.9732702422638,0,0,0.540009911488314,0.0820813709775778,0,0,0,0.00973204952350699,0.0100486820138656,0.212970198824657,0,0,0.00386716122388986,0,0.326502686998374,4.98878657776335,0.600551226531158,0.197306456669411,0.543559070919161,0.565001645285921,0.44551924966552,0.535880265874182,0.0486226586683786,0.732055869733571,0.00672114197664026,0.204472232576454,0.098072503141855,0.0289221558202241,0.419423105117876,0,0.0691899296900987,0,3.37490194615875
