,Country,Year,A,B,C10_12,C13_15,C16_18,C19,C20_21,C22_23,C24_25,C26,C27,C28,C29_30,C31_33,D,E,F,G,H,I,J58_60,J61,J62_63,K,L68,M,N,O84,P85,Q,R_S,T_U,VA_labour,VA_rest,Nuclear,Hydro,Wind,Solar,Other,Coal,Gas,Oil,Bio_Rest,Bio_Gas,Sector_Size,Gas_FC,Population,GDP_pC,Gas_FC_pC
11,UK,2010,0.004316587,0.146876265,0.000973309,0.000126216,0.00037311,0.000946619,0.003935305,0.000462699,0.006722121,0.006220127,0.002618245,0.010574557,0.002718432,0.018346771,0.504632913,0.004790092,0.015711634,0.013655849,0.002442961,0.000881555,0.001072452,0.001543019,0.006711524,0.019132834,0.000968353,0.016281266,0.00575455,0.000680451,0.000323364,0.000101039,0.000492379,0,0.069095639,0.130517764,0.18264867,0.017203776,0.023426294,0,0,0.305220801,0.453700002,0.00668105,0.011119406,0,340216,2161664,62510197,27579.8,0.034580982
12,EL,2010,0.000568257,0.109955162,0.000622626,0.000606382,0.006208267,0.054228565,0.000890577,0.002674954,0.009984159,0.004594918,0.004809172,0.004519741,0.000522076,0.001458834,0.154212858,0.000420185,0.001027372,0.044189499,0.005644575,0.001501389,0.004148958,0.002808527,0.000642762,0.019611899,0.05191352,0.007183015,0.006136715,0.005667933,0.00101368,9.93408599696608e-05,0.00340672,1.97339275885677e-05,0.123815763,0.364891866,0,0.135219254,0.048942878,0.002849291,0,0.564919957,0.149515624,0.095649604,0,0.002903391,55452.39867,36359,11119289,21125.2,0.003269903
13,HR,2010,0.001134393,0.061347896,0.00124297,0.000251756,0.002562004,0.272438041,0.003562763,0.005046751,0.007084661,0.002887139,0.004078505,0.001409117,0.002042384,0.004939069,0.108143766,0.00894837,0.003873282,0.081399178,0.02570177,0.000670255,0.001841934,0.002895193,0.002222253,0.013369013,0.002471324,0.011515445,0.002544405,0.001330369,0.001285327,7.24842160399516e-05,0.001256095,5.27971450167549e-05,0.086041151,0.274338142,0,0.514730547,0.007756672,0,0,0.13186343,0.277324289,0.066399844,0,0.001925217,17920.05556,59704,4302847,15108.4,0.013875464
14,HU,2010,0.007925888,0.054155874,0.003802274,0.000729046,0.00661573,0.026210403,0.014619886,0.007668141,0.016002746,0.003624482,0.01168734,0.014363152,0.003637302,0.023238216,0.090881611,0.005982327,0.014809317,0.043186279,0.061403321,0.001737093,0.001404282,0.002452138,0.024000661,0.018752441,0.01639409,0.062721575,0.034614674,0.005978447,0.002626388,0.000968238,0.002640219,1.61935261318811e-05,0.116413235,0.298736989,0.310481439,0.003670999,0.010427198,2.71202620902128e-05,0.012821375,0.161983901,0.437174286,0.010500965,0.052070903,0.000841813,51212.22222,283574,10014324,16462.3,0.028316839
15,IE,2010,0.000273052,0.071143864,0.001574807,0.000384315,0.000602341,0.014783909,0.013477655,0.0011436,0.001412499,0.000662904,0.000499903,0.001503689,0.001398136,0.001648001,0.168940744,0.000841131,0.001304697,0.162089356,0.003741572,0.004460886,0.017101736,0.005250106,0.001317155,0.022027398,0.003167264,0.0115457,0.014720405,0.000585902,0.000680726,0.00016698,0.004012029,2.28408437892198e-05,0.133783148,0.333731548,0,0.029390316,0.106589955,0,0,0.215822297,0.616810519,0.021044542,0.00343958,0.006902791,26406.419,73796.404,4549428,32705.4,0.016221029
16,IT,2010,0.001466787,0.034917072,0.000808939,0.000475403,0.001447395,0.038427807,0.001906205,0.004961642,0.005601281,0.010420447,0.004398096,0.00320504,0.003474967,0.001752212,0.352692204,0.019425857,0.006803588,0.045139944,0.060006776,0.010151309,0.001123644,0.023174211,0.008176799,0.015851473,0.011166666,0.016559723,0.009618735,0.002180407,0.001011107,0.000416704,0.00518501,1.64019762230896e-05,0.060156964,0.237879185,0,0.175508914,0.029936749,0.006255146,0.036442589,0.147359304,0.509056728,0.066983375,0.021498646,0.006958549,304709.1094,1790991,59190143,26367.8,0.030258264
17,LT,2010,0.000200605,0.048520009,0.000835408,0.0009873,0.004916555,0.053171519,0.002074711,0.002756692,0.007093295,0.005877389,0.008743781,0.003551442,0.00278546,0.029173683,0.404245697,0.002130328,0.028966173,0.019357449,0.013103398,0.000469102,0.000563459,0.003831062,0.002646992,0.011453295,0.004743567,0.011074715,0.002113068,0.001196727,0.000196002,0.000209044,0.002757843,9.2055954677785e-06,0.098199539,0.222045483,0,0.081352454,0.014071776,0,0.001884613,0.002669868,0.712086999,0.055055125,0.132701174,0.000177991,15918.38889,28788,3141976,15209.7,0.009162387
18,LU,2010,0.001702242,0.086264147,0.000616691,0.000329777,0.00449266,0.001222011,0.003142938,0.002507002,0.042006721,0.001254376,0.003096576,0.02167516,0.00102257,0.000851996,0.338014062,0.028474507,0.042419598,0.057724909,0.004636117,0.001852697,0.001314733,0.003244407,0.00516271,0.013481479,0.003515576,0.01639611,0.014070179,0.001236881,0.000631562,0.000606194,0.000663052,0,0.098113363,0.198256995,0,0.289152132,0.010906843,0,0.014762968,0,0.679986242,0.000731283,0.004460531,0,5050.407167,31411.987,502066,68308.9,0.062565454
19,LV,2010,0.002304047,0.09511926,0.001220783,0.000477331,0.0074411,0.036663398,0.004085236,0.008210836,0.00530555,0.003056887,0.004635316,0.00277246,0.000953253,0.011020844,0.403585564,0.001929035,0.040830771,0.020792275,0.013415007,0.000501267,0.000352014,0.005395196,0.001982072,0.00920023,0.001955319,0.01362293,0.02185254,0.003464284,0.000476392,0.000169436,0.002791234,4.69351576716219e-07,0.070252544,0.20416512,0,0.254178044,0.00319843,0,0.000100572,0.006500973,0.659253374,0.01243472,0.06187993,0.002453956,13809.89856,23153,2120504,13402.8,0.010918631
20,NL,2010,0.004487888,0.136746228,0.003821651,0.000128003,0.002528243,0.043087007,0.008663132,0.002139882,0.003048153,0.005069812,0.001344459,0.00364781,0.001536678,0.016482048,0.112881452,0.014349313,0.038095652,0.041503578,0.009496493,0.001765922,0.004382241,0.002438555,0.008566028,0.025740538,0.005668502,0.056777338,0.022888634,0.005724819,0.002308993,0.000667796,0.00194648,2.14950055817156e-07,0.089992549,0.322073909,0.031088551,0.000822448,0.02559418,2.58875435517233e-05,0.000211487,0.244950818,0.649830868,0.012521233,0.033415886,0.001538642,127667.5786,1003124,16574989,34091.1,0.060520342
